campaign,filename,extension,TELESCOP,INSTRUME,CHANNEL,MODULE,OUTPUT,RADESYS,EQUINOX,WCSAXES,CTYPE1,CTYPE2,CRVAL1,CRVAL2,CRPIX1,CRPIX2,CD1_1,CD1_2,CD2_1,CD2_2,A_ORDER,B_ORDER,A_2_0,A_0_2,A_1_1,B_2_0,B_0_2,B_1_1,AP_ORDER,BP_ORDER,AP_1_0,AP_0_1,AP_2_0,AP_0_2,AP_1_1,BP_1_0,BP_0_1,BP_2_0,BP_0_2,BP_1_1
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,29,Kepler,Kepler Photometer,29,10,1,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,101.022838847,27.1823953616,607.115616602,513.901707458,-0.00109028895588,-0.000177365904167,-0.000177636565849,0.00109077126982,2,2,9.39192241263e-07,-1.35553701503e-06,1.02211978708e-06,-4.21938043482e-07,4.79801874813e-06,-2.1404646728e-07,2,2,6.89189297411e-07,-2.18925832114e-06,-9.39041748233e-07,1.35472014931e-06,-1.02225966059e-06,-3.96388339993e-07,7.86894740663e-06,4.21341117695e-07,-4.79562806838e-06,2.14363268664e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,30,Kepler,Kepler Photometer,30,10,2,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,99.599999162,26.9920520195,458.80528049,534.730374142,0.00108787899213,-0.000190498321098,0.000188347528944,0.00108748765646,2,2,1.02995216886e-06,-6.4082119553e-07,-3.41872735868e-07,-2.52080383548e-06,1.03923416338e-06,-7.59416749558e-06,2,2,1.39567949096e-06,2.8640416379e-07,-1.029433893e-06,6.41130780413e-07,3.42897600816e-07,5.91349294058e-07,6.0581685494e-06,2.52504986298e-06,-1.04150051192e-06,7.60413110844e-06
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,31,Kepler,Kepler Photometer,31,10,3,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,99.486321344,28.2034929117,559.398908892,533.628126034,0.00108807792249,0.000190786365426,0.000191280189501,-0.00108774889403,2,2,5.43120915872e-07,-1.6489670739e-07,4.39328044967e-07,1.97735333638e-08,5.85181019453e-07,1.14316645599e-06,2,2,1.11924589597e-07,8.95927829063999e-08,-5.43109982932e-07,1.64891747505e-07,-4.39312253344e-07,2.64281277911e-07,3.15527225736e-07,-1.97769711532e-08,-5.85169672284e-07,-1.14313326319e-06
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,32,Kepler,Kepler Photometer,32,10,4,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,100.783823215,28.4455302694,609.797065025,491.200494,-0.00109002825778,0.000179642254629,-0.000179561884557,-0.00109016718497,2,2,7.28112130716e-07,-4.52348571506e-08,1.75783492877e-08,2.86483137796e-08,1.2150578684e-06,-4.65520032017e-07,2,2,2.13105038679e-07,-1.83975190243e-08,-7.28218453129e-07,4.52558591968e-08,-1.75804615132e-08,-1.70274295959e-07,5.20950770112e-07,-2.87501380023e-08,-1.21469898297e-06,4.6537336738e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,33,Kepler,Kepler Photometer,33,11,1,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,98.6344962068,16.409968336,550.52764356,570.828732229,0.00108689221176,0.000197467810565,0.000198354642895,-0.00108713075176,2,2,8.03483805143e-07,-2.43668371869e-07,-3.9514704918e-08,6.81301648665e-07,1.26991496366e-06,-3.99534711031e-07,2,2,2.33816850581e-07,-1.57883684213e-07,-8.03439406798e-07,2.43697663709e-07,3.95194843246e-08,-1.69789224134e-08,7.71225606281e-07,-6.81229827206e-07,-1.2702024176e-06,3.99713556872e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,34,Kepler,Kepler Photometer,34,11,2,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,99.9060666004,16.6922838237,543.443565834,513.487238755,-0.00108812741658,0.000191244953993,-0.00019106228673,-0.00108795806749,2,2,8.50578802769e-07,-1.89506247052e-09,1.01133986432e-06,1.20760729222e-07,2.49847948961e-07,-7.30111224821e-08,2,2,4.47574120502e-07,2.84505499613e-07,-8.50469340994e-07,1.86629717335e-09,-1.01117161576e-06,2.68356018151e-08,5.11781085758e-08,-1.20747396605e-07,-2.49848806181e-07,7.3016789689e-08
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,35,Kepler,Kepler Photometer,35,11,3,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,100.158903175,15.403674657,527.846226353,465.680801099,-0.00108807554503,-0.000189868595291,-0.000189849215755,0.00108823243803,2,2,6.69369996016e-07,1.3365372221e-07,4.09734403185e-07,-1.50209372572e-07,2.30981109418e-07,7.34293009608e-07,2,2,2.26389358058e-07,1.43495659402e-07,-6.6925876036e-07,-1.33669452262e-07,-4.09561980793e-07,9.13411543883e-09,1.27545714054e-07,1.50201672169e-07,-2.3094168253e-07,-7.34121626372e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,36,Kepler,Kepler Photometer,36,11,4,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,98.8668500845,15.2656474249,564.938802157,540.307246352,0.00108707520784,-0.00019679994893,0.000196586022188,0.00108721581722,2,2,1.53571753472e-07,-8.73083510111e-08,6.03508564068e-07,-1.85617307665e-07,1.21285252598e-06,1.39115443129e-07,2,2,9.32581293559e-08,-3.42845189942e-09,-1.53574387156e-07,8.73132126984e-08,-6.03518642027e-07,4.64662550059e-08,4.64573423919e-07,1.85627733393e-07,-1.21288980882e-06,-1.39123351966e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,37,Kepler,Kepler Photometer,37,12,1,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,98.0579862933,19.2291872973,524.645714888,555.667904394,0.00108639185953,0.00020197996386,0.000202301276518,-0.00108596953931,2,2,4.43760221739e-07,4.82623705859e-07,-5.22335649551e-07,-9.85177345894e-07,7.41195173804999e-07,1.07757729668e-06,2,2,3.17946576899e-07,-1.63081257805e-07,-4.43653950289e-07,-4.82654788633e-07,5.22096350973999e-07,-2.98793444638e-07,4.3381717942e-07,9.84979400298e-07,-7.4118340091e-07,-1.0775133289e-06
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,38,Kepler,Kepler Photometer,38,12,2,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,99.2651698453,19.4342017967,652.946351817,558.442781523,-0.00108733295993,0.000194707019695,-0.000194505588491,-0.00108730282231,2,2,4.65109031892e-07,5.93010525508e-07,3.61710653317e-07,1.67572111505e-07,1.13787764011e-06,3.51485245438e-07,2,2,2.49124363754e-07,3.69577478548e-07,-4.65165119255e-07,-5.93142186092e-07,-3.61927217758e-07,2.00103996356e-07,5.89391223114e-07,-1.67553107203e-07,-1.13809540203e-06,-3.51695371657e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,39,Kepler,Kepler Photometer,39,12,3,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,99.5256639245,18.2953294678,614.697867846,551.614679855,-0.00108785863162,-0.000192394587685,-0.000193023796764,0.00108767075237,2,2,1.62013725151e-06,3.84735913904e-07,-6.57897058538e-07,8.72024235157e-07,7.76616002708e-07,2.09952434481e-07,2,2,1.07481290951e-06,-2.33954483061e-07,-1.62062397782e-06,-3.84646446345e-07,6.58111457781e-07,7.06244092166e-07,3.02047269104e-07,-8.72350407433e-07,-7.76589804545e-07,-2.10044386865e-07
